,title,year,runtime[min],genres,averagerating,numvotes,domestic_gross,foreign_gross,total_gross,genre0,genre1,genre2
116,Hotel Transylvania 2,2015,89.0,"Animation,Comedy,Family",6.7,92905,169700000.0,305100000.0,474800000.0,Animation,Comedy,Family
117,San Andreas,2015,114.0,"Action,Adventure,Drama",6.1,192750,155200000.0,318800000.0,474000000.0,Action,Adventure,Drama
118,Wreck-It Ralph,2012,101.0,"Adventure,Animation,Comedy",7.7,344496,189400000.0,281800000.0,471200000.0,Adventure,Animation,Comedy
119,The Lego Movie,2014,100.0,"Action,Adventure,Animation",7.8,304179,257800000.0,211400000.0,469200000.0,Action,Adventure,Animation
120,Bumblebee,2018,114.0,"Action,Adventure,Sci-Fi",6.9,94155,127200000.0,340800000.0,468000000.0,Action,Adventure,Sci-Fi
121,Star Trek Into Darkness,2013,132.0,"Action,Adventure,Sci-Fi",7.7,445535,228800000.0,238600000.0,467400000.0,Action,Adventure,Sci-Fi
122,Lucy,2014,89.0,"Action,Sci-Fi,Thriller",6.4,403194,126700000.0,336700000.0,463400000.0,Action,Sci-Fi,Thriller
123,Thor,2011,115.0,"Action,Adventure,Fantasy",7.0,683264,181000000.0,268300000.0,449300000.0,Action,Adventure,Fantasy
124,La La Land,2016,128.0,"Comedy,Drama,Music",8.0,436070,151100000.0,295000000.0,446100000.0,Comedy,Drama,Music
125,The Greatest Showman,2017,105.0,"Biography,Drama,Musical",7.6,199663,174300000.0,260700000.0,435000000.0,Biography,Drama,Musical
126,Warcraft,2016,123.0,"Action,Adventure,Fantasy",6.9,225557,47400000.0,386300000.0,433700000.0,Action,Adventure,Fantasy
127,Django Unchained,2012,165.0,"Drama,Western",8.4,1211405,162800000.0,262600000.0,425400000.0,Drama,Western,
128,The Chronicles Of Narnia: The Voyage Of The Dawn Treader,2010,113.0,"Adventure,Family,Fantasy",6.3,129663,104400000.0,311300000.0,415700000.0,Adventure,Family,Fantasy
129,Jason Bourne,2016,123.0,"Action,Thriller",6.6,190596,162400000.0,253100000.0,415500000.0,Action,Thriller,
130,The Wolverine,2013,126.0,"Action,Adventure,Sci-Fi",6.7,401286,132600000.0,282300000.0,414900000.0,Action,Adventure,Sci-Fi
131,Pacific Rim,2013,131.0,"Action,Adventure,Sci-Fi",6.9,443667,101800000.0,309200000.0,411000000.0,Action,Adventure,Sci-Fi
132,Kingsman: The Golden Circle,2017,141.0,"Action,Adventure,Comedy",6.8,230797,100200000.0,310700000.0,410900000.0,Action,Adventure,Comedy
133,The King'S Speech,2010,118.0,"Biography,Drama,History",8.0,593629,135500000.0,275400000.0,410900000.0,Biography,Drama,History
